uses	world	expression
8	ab1	Ramiren_Nmd_Da_1 >= 1
8	ab1	Ramiren_Nmd_Da_2 >= 1
8	ab1	Ramiren_Nmd_Da_3 >= 1
8	ab1	Ramiren_Nmd_Da_4 >= 1
8	ab1	Ramiren_Nmd_Da_5 >= 1
8	ab1	Ramiren_Nmd_Da_6 >= 1
8	ab1	Ramiren_Nmd_Li_1 >= 1
8	ab1	Ramiren_Nmd_Li_2 >= 1
8	ab1	Ramiren_Nmd_Li_3 >= 1
8	ab1	Ramiren_Nmd_Li_4 >= 1
8	ab1	Ramiren_Nmd_Li_5 >= 1
8	ab1	Ramiren_Nmd_Li_6 >= 1
8	ldf5a	WORLDRAID_06 == 2
8	IDRaksha_solo	Wave_A_01_Clear >= 10
8	idldf5b_td	Wave_Z1_S3_01 == 1
8	idldf5b_td	Wave_Z1_S3_02 == 1
8	idldf5b_td	Wave_Z1_S3_03 == 1
8	idldf5b_td	Wave_Z1_S3_04 == 1
8	idldf5b_td	Wave_Z1_S5_01 == 1
8	idldf5b_td	Wave_Z1_S5_02 == 1
8	idldf5b_td	Wave_Z2_S2_01 == 1
8	idldf5b_td	Wave_Z2_S3_01 == 1
8	idldf5b_td	Wave_Z2_S3_02 == 1
8	IDAb1_Heroes_D	boss_wave == 1
8	idldf5_under_02	cBox == 1
8	idldf5b_td	castle_gate_02_Bomb == 2
8	idldf5b_td	castle_gate_03_Bomb == 1
8	IDAb1_Heroes_D	defend_wave == 4
8	IDAb1_Ere	drakan == 1
8	iddc1_dreadgion	dreadgion_invasion_boss == 1
8	iddc1_dreadgion	dreadgion_invasion_turret_01 == 2
8	iddc1_dreadgion	dreadgion_invasion_turret_02 == 2
8	iddc1_dreadgion	dreadgion_weapon == 1
8	iddc1_dreadgion	dreadgion_weapon_a_start == 1
8	iddc1_dreadgion	dreadgion_weapon_b_start == 1
8	IDInfinity	floor_01 >= 1
8	IDInfinity	floor_23 >= 1
8	IDInfinity	floor_32 == 1
8	IDEternity_02	ideternity_02_strong_c == 1
8	IDEvent_Solo	idevent_solo_rush == 1
8	IDAb1_Ere	main_destroy_start == 2
8	idldf5_under_01	mboss_spawn == 1
8	idldf5_under_01	mboss_spawn == 2
8	idldf5_under_01	mboss_spawn == 3
8	idldf5_under_01	mboss_spawn == 4
8	IDEternity_02	named_die_01 == 2
8	IDEternity_War	people_expand_con >= 1
8	IDEternity_03	rock1_4 >= 5
8	iddc1_dreadgion	set_energy_a > 72
8	iddc1_dreadgion	set_energy_b > 72
8	iddc1_dreadgion	set_energy_c > 72
8	iddc1_dreadgion	set_energy_d > 72
8	iddc1_dreadgion	set_ice_a == 2
8	iddc1_dreadgion	set_ice_a == 3
8	iddc1_dreadgion	set_ice_a == 4
8	iddc1_dreadgion	set_ice_b == 2
8	iddc1_dreadgion	set_ice_b == 3
8	iddc1_dreadgion	set_ice_b == 4
8	iddc1_dreadgion	submodule_a_01 == 1
8	iddc1_dreadgion	submodule_a_02 == 1
8	iddc1_dreadgion	submodule_a_03 == 1
8	iddc1_dreadgion	submodule_b_01 == 1
8	iddc1_dreadgion	submodule_b_02 == 1
8	iddc1_dreadgion	submodule_b_03 == 1
8	IDEvent_Solo	tog_spawn_mob == 1
8	idf5_td_war	v04 == 2
8	idf5_td_war	v04 == 3
8	idf5_td_war	v10 == 2
8	idf5_td_war	v10 == 3
8	LDF4_Advance	village_da_es == 3
8	LDF4_Advance	village_da_gs == 2
8	LDF4_Advance	village_da_is == 3
8	LDF4_Advance	village_da_km == 3
8	LDF4_Advance	village_li_bs == 3
8	LDF4_Advance	village_li_ds == 3
8	LDF4_Advance	village_li_js == 2
8	LDF4_Advance	village_li_km == 2
8	IDInfinity	zone == 1
7	IDEternity_03	((waveend > 31) && (waveend < 40))
7	IDEternity_03	((waveend > 38) && (waveend < 47))
7	IDSweep_02	(4STAGE_PHASE>=139) && (4STAGE_ELITE>=3) && (SpecialServer_Cond == 0)
7	IDSweep_02	(4STAGE_PHASE>=139) && (4STAGE_ELITE>=3) && (SpecialServer_Cond == 1)
7	IDSweep_02	(4STAGE_PHASE>=99) && (4STAGE_ELITE>=2) && (SpecialServer_Cond == 0)
7	IDSweep_02	(4STAGE_PHASE>=99) && (4STAGE_ELITE>=2) && (SpecialServer_Cond == 1)
7	ldf5b	(6011_Mercenary01==1) && (6011==2)
7	ldf5b	(6011_Mercenary01==1) && (6011==3)
7	IDEternity_01	(Boss_Set == 1) && (Boss_Class == 1)
7	IDEternity_01	(Boss_Set == 1) && (Boss_Class == 2)
7	IDEternity_01	(Boss_Set == 1) && (Boss_Class == 3)
7	IDEternity_01	(Boss_Set == 1) && (Boss_Class == 4)
7	IDEternity_01	(Boss_Set == 1) && (Boss_Class == 5)
7	IDEternity_01	(Boss_Set == 1) && (Boss_Class == 6)
7	IDEternity_01	(Boss_Set == 2) && (Boss_Class == 1)
7	IDEternity_01	(Boss_Set == 2) && (Boss_Class == 2)
7	IDEternity_01	(Boss_Set == 2) && (Boss_Class == 3)
7	IDEternity_01	(Boss_Set == 2) && (Boss_Class == 4)
7	IDEternity_01	(Boss_Set == 2) && (Boss_Class == 5)
7	IDEternity_01	(Boss_Set == 2) && (Boss_Class == 6)
7	IDEternity_01	(Boss_Set == 3) && (Boss_Class == 1)
7	IDEternity_01	(Boss_Set == 3) && (Boss_Class == 2)
7	IDEternity_01	(Boss_Set == 3) && (Boss_Class == 3)
7	IDEternity_01	(Boss_Set == 3) && (Boss_Class == 4)
7	IDEternity_01	(Boss_Set == 3) && (Boss_Class == 5)
7	IDEternity_01	(Boss_Set == 3) && (Boss_Class == 6)
7	df3	(DirectPortalDest_20 == 1)&&(SpecialServer_Cond == 0)
7	df3	(DirectPortalDest_21 == 1)&&(SpecialServer_Cond == 0)
7	df3	(DirectPortalDest_22 == 1)&&(SpecialServer_Cond == 0)
7	df3	(DirectPortalDest_23 == 1)&&(SpecialServer_Cond == 0)
7	df3	(DirectPortalDest_24 == 1)&&(SpecialServer_Cond == 0)
7	df3	(DirectPortalDest_25 == 1)&&(SpecialServer_Cond == 0)
7	arena_d_lobby	(GAB1_DARK_MATCHMAKER_IN_PVP == 1) && (SpecialServer_Cond == 0)
7	arena_l_lobby	(GAB1_LIGHT_MATCHMAKER_IN_PVP == 1) && (SpecialServer_Cond == 0)
7	IDEvent_def	(Wave_2_Start == 1) && (SpecialServer_Cond == 0)
7	IDEvent_def	(Wave_2_Start == 1) && (SpecialServer_Cond == 1)
7	IDAb1_Ere	(boss_brother == 2) && (1round_end == 1)
7	LDF4_Advance	(da_killer_v01 == 9) || (da_killer_v01 == 11)
7	LDF4_Advance	(da_killer_v04 == 9) || (da_killer_v04 == 11)
7	LDF4_Advance	(da_killer_v06 == 9) || (da_killer_v06 == 11)
7	LDF4_Advance	(da_killer_v10 == 9) || (da_killer_v10 == 11)
7	LDF4_Advance	(da_killer_v12 == 9) || (da_killer_v12 == 11)
7	LDF4_Advance	(da_killer_v13 == 9) || (da_killer_v13 == 11)
7	LDF4_Advance	(li_killer_v01 == 9) || (li_killer_v01 == 11)
7	LDF4_Advance	(li_killer_v04 == 9) || (li_killer_v04 == 11)
7	LDF4_Advance	(li_killer_v06 == 9) || (li_killer_v06 == 11)
7	LDF4_Advance	(li_killer_v10 == 9) || (li_killer_v10 == 11)
7	LDF4_Advance	(li_killer_v12 == 9) || (li_killer_v12 == 11)
7	LDF4_Advance	(li_killer_v13 == 9) || (li_killer_v13 == 11)
7	LDF4_Advance	(v01== 2) && (vd_l > 1)
7	LDF4_Advance	(v01== 2) && (vd_l > 2)
7	LDF4_Advance	(v01== 3) && (vd_d > 1)
7	LDF4_Advance	(v01== 3) && (vd_d > 2)
7	LDF4_Advance	(v02== 2) && (va_l > 2)
7	LDF4_Advance	(v02== 3) && (va_d > 2)
7	LDF4_Advance	(v05== 2) && (vb_l > 1)
7	LDF4_Advance	(v05== 2) && (vb_l > 2)
7	LDF4_Advance	(v05== 3) && (vb_d > 1)
7	LDF4_Advance	(v05== 3) && (vb_d > 2)
7	LDF4_Advance	(v06== 2) && (vb_l > 1)
7	LDF4_Advance	(v06== 2) && (vb_l > 2)
7	LDF4_Advance	(v06== 3) && (vb_d > 1)
7	LDF4_Advance	(v06== 3) && (vb_d > 2)
7	LDF4_Advance	(v07== 2) && (vb_l > 1)
7	LDF4_Advance	(v07== 2) && (vb_l > 2)
7	LDF4_Advance	(v07== 3) && (vb_d > 1)
7	LDF4_Advance	(v07== 3) && (vb_d > 2)
7	LDF4_Advance	(v09== 2) && (vc_l > 2)
7	LDF4_Advance	(v09== 3) && (vc_d > 2)
7	LDF4_Advance	(v13==2) && (li_killer_v13 > 3)
7	LDF4_Advance	(v13==3) && (da_killer_v13 > 3)
7	IDSweep	1STAGE_START>=15
7	IDAb1_Ere	1f_abuse == 1
7	IDLDF5_Under_01_War	AttackDark_03 >= 1
7	IDLDF5_Under_01_War	Attack_03 >= 1
7	idarena	Condition_S3_L >= 37
7	idarena	Condition_S4 >= 1
7	idarena	Condition_S4 >= 6
7	ab1	Crotan_Nmd_Li_2 >= 1
7	ab1	Crotan_Nmd_Li_3 >= 1
7	IDLDF5_Fortress_War	Da_Open == 4
7	ldf4b	DarkOwnedTower >= 2
7	lf3	DirectPortalDest_28 == 1
7	lf3	DirectPortalDest_29 == 1
7	lf3	DirectPortalDest_30 == 1
7	lf3	DirectPortalDest_31 == 1
7	lf3	DirectPortalDest_32 == 1
7	ab1	Dkisas_Tak_Da_2 >= 1
7	idvritra_base	GATECONTROL_B3 <= 1
7	housing_df_personal	HDFP_ID_TOWN_A_1_LV==2
7	housing_df_personal	HDFP_ID_TOWN_A_2_LV==2
7	housing_df_personal	HDFP_ID_TOWN_A_3_LV==2
7	housing_df_personal	HDFP_ID_TOWN_A_LV==2
7	housing_df_personal	HDFP_ID_TOWN_B_1_LV==2
7	housing_df_personal	HDFP_ID_TOWN_B_2_LV==2
7	housing_df_personal	HDFP_ID_TOWN_B_3_LV==2
7	housing_df_personal	HDFP_ID_TOWN_B_4_LV==2
7	housing_df_personal	HDFP_ID_TOWN_B_5_LV==2
7	housing_df_personal	HDFP_ID_TOWN_B_6_LV==2
7	housing_df_personal	HDFP_ID_TOWN_B_7_LV==2
7	housing_df_personal	HDFP_ID_TOWN_B_8_LV==2
7	housing_df_personal	HDFP_ID_TOWN_B_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_10_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_11_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_1_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_2_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_3_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_4_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_5_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_6_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_7_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_8_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_9_LV==2
7	housing_df_personal	HDFP_ID_TOWN_C_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_A_1_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_A_2_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_A_3_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_A_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_B_1_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_B_2_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_B_3_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_B_4_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_B_5_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_B_6_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_B_7_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_B_8_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_B_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_10_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_11_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_1_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_2_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_3_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_4_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_5_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_6_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_7_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_8_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_9_LV==2
7	housing_lf_personal	HLFP_ID_TOWN_C_LV==2
7	IDLDF5_Fortress_War	Li_Open == 4
7	ldf4b	LightOwnedTower >= 2
7	idtiamat_1	MURUGAN_SPAWN == 1
7	idtiamat_1	MURUGAN_SPAWN == 2
7	IDLDF4Re_01_L	cSet_1_1_3 == 1
7	IDF6_LF1	con_HelpStart_D == 1
7	IDF6_LF1	con_HelpStart_L == 1
7	LDF4_Advance	da_killer_v01 == 1
7	LDF4_Advance	da_killer_v01 == 3
7	LDF4_Advance	da_killer_v01 == 5
7	LDF4_Advance	da_killer_v01 == 7
7	LDF4_Advance	da_killer_v04 == 1
7	LDF4_Advance	da_killer_v04 == 3
7	LDF4_Advance	da_killer_v04 == 5
7	LDF4_Advance	da_killer_v04 == 7
7	LDF4_Advance	da_killer_v06 == 1
7	LDF4_Advance	da_killer_v06 == 3
7	LDF4_Advance	da_killer_v06 == 5
7	LDF4_Advance	da_killer_v06 == 7
7	LDF4_Advance	da_killer_v10 == 1
7	LDF4_Advance	da_killer_v10 == 3
7	LDF4_Advance	da_killer_v10 == 5
7	LDF4_Advance	da_killer_v10 == 7
7	LDF4_Advance	da_killer_v12 == 1
7	LDF4_Advance	da_killer_v12 == 3
7	LDF4_Advance	da_killer_v12 == 5
7	LDF4_Advance	da_killer_v12 == 7
7	LDF4_Advance	da_killer_v13 == 1
7	LDF4_Advance	da_killer_v13 == 3
7	LDF4_Advance	da_killer_v13 == 5
7	LDF4_Advance	da_killer_v13 == 7
7	IDAbRe_Core_03	drakan_run == 1
7	IDEternity_02	ideternity_02_fly < 4
7	IDEternity_02	ideternity_02_nepilim == 1
7	IDEternity_02	ideternity_02_nepilim == 2
7	IDEternity_02	ideternity_02_strong_b == 2
7	LDF4_Advance	li_killer_v01 == 1
7	LDF4_Advance	li_killer_v01 == 3
7	LDF4_Advance	li_killer_v01 == 5
7	LDF4_Advance	li_killer_v01 == 7
7	LDF4_Advance	li_killer_v04 == 1
7	LDF4_Advance	li_killer_v04 == 3
7	LDF4_Advance	li_killer_v04 == 5
7	LDF4_Advance	li_killer_v04 == 7
7	LDF4_Advance	li_killer_v06 == 1
7	LDF4_Advance	li_killer_v06 == 3
7	LDF4_Advance	li_killer_v06 == 5
7	LDF4_Advance	li_killer_v06 == 7
7	LDF4_Advance	li_killer_v10 == 1
7	LDF4_Advance	li_killer_v10 == 3
7	LDF4_Advance	li_killer_v10 == 5
7	LDF4_Advance	li_killer_v10 == 7
7	LDF4_Advance	li_killer_v12 == 1
7	LDF4_Advance	li_killer_v12 == 3
7	LDF4_Advance	li_killer_v12 == 5
7	LDF4_Advance	li_killer_v12 == 7
7	LDF4_Advance	li_killer_v13 == 1
7	LDF4_Advance	li_killer_v13 == 3
7	LDF4_Advance	li_killer_v13 == 5
7	LDF4_Advance	li_killer_v13 == 7
7	iddf3_dragon	master_mode == 1
7	IDEternity_03	rock1_1 >= 4
7	IDEternity_03	rock1_2 >= 1
7	IDEternity_03	rock1_2 >= 4
7	IDEternity_03	rock1_3 >= 5
7	idf5_td_war	v05 == 2
7	idf5_td_war	v05 == 3
7	idf5_td_war	v06 == 1
7	LDF4_Advance	village_da_gs == 3
7	LDF4_Advance	village_li_bs == 2
7	LDF4_Advance	village_li_ds == 2
7	IDEternity_03	worldraid_on == 1
6	IDTransform	( level_check == 66 ) && ( TIMEATTACK_PLAY_START == 1 )
6	IDTransform	( level_check == 67 ) && ( TIMEATTACK_PLAY_START == 1 )
6	IDTransform	( level_check == 68 ) && ( TIMEATTACK_PLAY_START == 1 )
6	IDTransform	( level_check == 69 ) && ( TIMEATTACK_PLAY_START == 1 )
6	IDTransform	( level_check == 70 ) && ( TIMEATTACK_PLAY_START == 1 )
6	IDTransform	( level_check == 71 ) && ( TIMEATTACK_PLAY_START == 1 )
6	IDTransform	( level_check == 72 ) && ( TIMEATTACK_PLAY_START == 1 )
6	IDTransform	( level_check == 73 ) && ( TIMEATTACK_PLAY_START == 1 )
6	IDTransform	( level_check == 74 ) && ( TIMEATTACK_PLAY_START == 1 )
6	IDTransform	( level_check == 75 ) && ( TIMEATTACK_PLAY_START == 1 )
6	df6	( li_invasion_01 == 1 ) && ( df6_bonus_2nd_01 != 1 ) && ( df6_bonus_3rd_01 != 1 )
6	df6	( li_invasion_02 == 1 ) && ( df6_bonus_2nd_02 != 1 ) && ( df6_bonus_3rd_02 != 1 )
6	df6	( li_invasion_03 == 1 ) && ( df6_bonus_2nd_03 != 1 ) && ( df6_bonus_3rd_03 != 1 )
6	df6	( li_invasion_04 == 1 ) && ( df6_bonus_2nd_04 != 1 ) && ( df6_bonus_3rd_04 != 1 )
6	IDEternity_03	((waveend > 1) && (waveend < 9))
6	IDEternity_03	((waveend > 7) && (waveend < 15))
6	IDSweep	(4STAGE_PHASE>=182)&&(4STAGE_ELITE>=4)
6	IDSweep	(4STAGE_PHASE>=66)&&(4STAGE_ELITE>=1)
6	ldf5b	(6021_Mercenary01==1) && (6021==2)
6	ldf5b	(6021_Mercenary01==1) && (6021==3)
6	lf2	(DirectPortalDest_16>=1)&&(SpecialServer_Cond == 0)
6	lf2	(DirectPortalDest_18>=1)&&(SpecialServer_Cond == 0)
6	ab1	(Dkisas_Tak_Da_2 == -1) && (Dkisas_Tak_Li_2 == -1)
6	housing_df_personal	(HDFP_ID_TOWN_A_1_LV==5)&&(HDFP_ID_TOWN_A_1_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_A_2_LV==5)&&(HDFP_ID_TOWN_A_2_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_A_3_LV==5)&&(HDFP_ID_TOWN_A_3_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_A_LV==5)&&(HDFP_ID_TOWN_A_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_B_1_LV==5)&&(HDFP_ID_TOWN_B_1_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_B_2_LV==5)&&(HDFP_ID_TOWN_B_2_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_B_3_LV==5)&&(HDFP_ID_TOWN_B_3_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_B_4_LV==5)&&(HDFP_ID_TOWN_B_4_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_B_5_LV==5)&&(HDFP_ID_TOWN_B_5_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_B_6_LV==5)&&(HDFP_ID_TOWN_B_6_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_B_7_LV==5)&&(HDFP_ID_TOWN_B_7_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_B_8_LV==5)&&(HDFP_ID_TOWN_B_8_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_B_LV==5)&&(HDFP_ID_TOWN_B_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_10_LV==5)&&(HDFP_ID_TOWN_C_10_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_11_LV==5)&&(HDFP_ID_TOWN_C_11_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_1_LV==5)&&(HDFP_ID_TOWN_C_1_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_2_LV==5)&&(HDFP_ID_TOWN_C_2_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_3_LV==5)&&(HDFP_ID_TOWN_C_3_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_4_LV==5)&&(HDFP_ID_TOWN_C_4_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_5_LV==5)&&(HDFP_ID_TOWN_C_5_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_6_LV==5)&&(HDFP_ID_TOWN_C_6_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_7_LV==5)&&(HDFP_ID_TOWN_C_7_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_8_LV==5)&&(HDFP_ID_TOWN_C_8_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_9_LV==5)&&(HDFP_ID_TOWN_C_9_LV_TICK<432)
6	housing_df_personal	(HDFP_ID_TOWN_C_LV==5)&&(HDFP_ID_TOWN_C_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_A_1_LV==5)&&(HLFP_ID_TOWN_A_1_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_A_2_LV==5)&&(HLFP_ID_TOWN_A_2_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_A_3_LV==5)&&(HLFP_ID_TOWN_A_3_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_A_LV==5)&&(HLFP_ID_TOWN_A_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_B_1_LV==5)&&(HLFP_ID_TOWN_B_1_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_B_2_LV==5)&&(HLFP_ID_TOWN_B_2_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_B_3_LV==5)&&(HLFP_ID_TOWN_B_3_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_B_4_LV==5)&&(HLFP_ID_TOWN_B_4_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_B_5_LV==5)&&(HLFP_ID_TOWN_B_5_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_B_6_LV==5)&&(HLFP_ID_TOWN_B_6_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_B_7_LV==5)&&(HLFP_ID_TOWN_B_7_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_B_8_LV==5)&&(HLFP_ID_TOWN_B_8_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_B_LV==5)&&(HLFP_ID_TOWN_B_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_10_LV==5)&&(HLFP_ID_TOWN_C_10_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_11_LV==5)&&(HLFP_ID_TOWN_C_11_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_1_LV==5)&&(HLFP_ID_TOWN_C_1_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_2_LV==5)&&(HLFP_ID_TOWN_C_2_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_3_LV==5)&&(HLFP_ID_TOWN_C_3_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_4_LV==5)&&(HLFP_ID_TOWN_C_4_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_5_LV==5)&&(HLFP_ID_TOWN_C_5_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_6_LV==5)&&(HLFP_ID_TOWN_C_6_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_7_LV==5)&&(HLFP_ID_TOWN_C_7_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_8_LV==5)&&(HLFP_ID_TOWN_C_8_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_9_LV==5)&&(HLFP_ID_TOWN_C_9_LV_TICK<432)
6	housing_lf_personal	(HLFP_ID_TOWN_C_LV==5)&&(HLFP_ID_TOWN_C_LV_TICK<432)
6	idstation	(IDStation_Score <= 11) && (IDStation_Score >= 10)
6	ab1	(InterServer_Cond == 0) && (SpecialServer_Cond == 0) && (D_BuildupLevel >= 7)
6	ab1	(InterServer_Cond == 0) && (SpecialServer_Cond == 0) && (L_BuildupLevel >= 7)
6	ldf5_fortress	(MistOn_Dragon == 1) && (7012 == 1)
6	ldf5_fortress	(MistOn_Dragon == 1) && (7013 == 1)
6	ldf5_fortress	(MistOn_Dragon == 1) && (7014 == 1)
6	IDSeal	(PLAY_LEVEL == 3) && (SUB_WAVE == 10)
6	IDSeal	(PLAY_LEVEL == 3) && (SUB_WAVE == 9)
6	IDSeal_Q	(RACE == 1) && (SCENE == 10) && (GUARDRUN ==2)
6	IDSeal_Q	(RACE == 1) && (SCENE == 8) && (GUARDRUN ==2)
6	IDSeal_Q	(RACE == 1) && (SCENE == 9) && (GUARDRUN ==2)
6	IDSeal_Q	(RACE == 2) && (SCENE == 10) && (GUARDRUN ==2)
6	IDSeal_Q	(RACE == 2) && (SCENE == 8) && (GUARDRUN ==2)
6	IDSeal_Q	(RACE == 2) && (SCENE == 9) && (GUARDRUN ==2)
6	IDSeal	(SCENE == 1) && (RACE == 1)
6	IDSeal	(SCENE == 1) && (RACE == 2)
6	IDSeal	(SCENE == 3) && (RACE == 1)
6	IDSeal	(SCENE == 3) && (RACE == 2)
6	idlf1	(SpecialServer_Cond == 0) && (NAGABOSS_KILL == 1)
6	idlf1	(SpecialServer_Cond == 1) && (NAGABOSS_KILL == 1)
6	IDSeal	(TWIN_P < 10) && (TWIN_M <10)
6	IDEvent_def	(Wave_2 >= 18) && (SpecialServer_Cond == 1)
6	IDEvent_def	(Wave_2 >= 5) && (SpecialServer_Cond == 0)
6	IDEvent_def	(Wave_2 >= 5) && (SpecialServer_Cond == 1)
6	LDF4_Advance	(da_killer_v03 == 9) || (da_killer_v03 == 11)
6	LDF4_Advance	(da_killer_v05 == 9) || (da_killer_v05 == 11)
6	LDF4_Advance	(da_killer_v07 == 9) || (da_killer_v07 == 11)
6	LDF4_Advance	(da_killer_v09 == 9) || (da_killer_v09 == 11)
6	LDF4_Advance	(da_killer_v11 == 9) || (da_killer_v11 == 11)
6	IDAb1_Ere	(da_play == 1) && (statdown == 6)
6	IDAbRe_Core_03	(doll_set == 1) && (doll_stone_set == 1)
6	IDAbRe_Core_03	(doll_set == 1) && (doll_stone_set == 2)
6	IDAbRe_Core_03	(doll_set == 1) && (doll_stone_set == 3)
6	IDAbRe_Core_03	(doll_set == 2) && (doll_stone_set == 1)
6	IDAbRe_Core_03	(doll_set == 2) && (doll_stone_set == 2)
6	IDAbRe_Core_03	(doll_set == 2) && (doll_stone_set == 3)
6	IDAbRe_Core_03	(doll_set == 3) && (doll_stone_set == 1)
6	IDAbRe_Core_03	(doll_set == 3) && (doll_stone_set == 2)
6	IDAbRe_Core_03	(doll_set == 3) && (doll_stone_set == 3)
6	IDAbRe_Core_03	(doll_set == 4) && (doll_stone_set == 1)
6	IDAbRe_Core_03	(doll_set == 4) && (doll_stone_set == 2)
6	IDAbRe_Core_03	(doll_set == 4) && (doll_stone_set == 3)
6	IDAbRe_Core_03	(doll_set == 5) && (doll_stone_set == 1)
6	IDAbRe_Core_03	(doll_set == 5) && (doll_stone_set == 2)
6	IDAbRe_Core_03	(doll_set == 5) && (doll_stone_set == 3)
6	IDAbRe_Core_03	(doll_set == 6) && (doll_stone_set == 1)
6	IDAbRe_Core_03	(doll_set == 6) && (doll_stone_set == 2)
